Address,Brownfield,Carcinogenic,"Chemical Name"
"NEW BROOKLYN-NEW FREEDOM RD",N/A,Yes,FORMALDEHYDE
"NEW PROVIDENCE RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"RT # 524 ARDENA RD",N/A,Yes,STYRENE
"RTE 130 S",N/A,Yes,HEXACHLOROBENZENE
"RTE. 322 & I-295",N/A,Yes,"1,2-DICHLOROETHANE"
"RTE. 322 & I-295",N/A,Yes,"1,3-DICHLOROPROPYLENE"
"RTE. 322 & I-295",N/A,Yes,"1,4-DICHLOROBENZENE"
"RTE. 322 & I-295",N/A,Yes,"2,4,6-TRICHLOROPHENOL"
"RTE. 322 & I-295",N/A,Yes,"2,4-D"
"RTE. 322 & I-295",N/A,Yes,2-NITROPROPANE
"RTE. 322 & I-295",N/A,Yes,"4,4'-METHYLENEBIS(2-CHLOROANILINE)"
"RTE. 322 & I-295",N/A,Yes,ACRYLAMIDE
"RTE. 322 & I-295",N/A,Yes,ACRYLONITRILE
"RTE. 322 & I-295",N/A,Yes,BENZENE
"RTE. 322 & I-295",N/A,Yes,"CARBON TETRACHLORIDE"
"RTE. 322 & I-295",N/A,Yes,CHLORDANE
"RTE. 322 & I-295",N/A,Yes,CHLOROFORM
"RTE. 322 & I-295",N/A,Yes,CREOSOTE
"RTE. 322 & I-295",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"RTE. 322 & I-295",N/A,Yes,"DICHLOROBENZENE (MIXED ISOMERS)"
"RTE. 322 & I-295",N/A,Yes,DICHLOROMETHANE
"RTE. 322 & I-295",N/A,Yes,"ETHYL ACRYLATE"
"RTE. 322 & I-295",N/A,Yes,FORMALDEHYDE
"RTE. 322 & I-295",N/A,Yes,HEPTACHLOR
"RTE. 322 & I-295",N/A,Yes,HEXACHLOROBENZENE
"RTE. 322 & I-295",N/A,Yes,"N,N-DIMETHYLFORMAMIDE"
"RTE. 322 & I-295",N/A,Yes,PENTACHLOROPHENOL
"RTE. 322 & I-295",N/A,Yes,"POLYCHLORINATED BIPHENYLS"
"RTE. 322 & I-295",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"RTE. 322 & I-295",N/A,Yes,STYRENE
"RTE. 322 & I-295",N/A,Yes,TETRACHLOROETHYLENE
"RTE. 322 & I-295",N/A,Yes,TOXAPHENE
"RTE. 322 & I-295",N/A,Yes,TRICHLOROETHYLENE
"TERMINAL WAY OFF RANDOLF AVE.",N/A,Yes,COBALT
"TETERBORO AIRPORT",N/A,Yes,BENZENE
"W BROAD ST & DEVLIN AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
